depth	sample	n_truth	n_pred	TP	FP	FN	precision	recall	f1	wall_s	maxrss_mb
depth_low	sample01	17	10	7	3	10	0.7000	0.4118	0.5185	0.930	307.8
depth_low	sample02	18	16	15	1	3	0.9375	0.8333	0.8824	0.980	313.3
depth_low	sample03	17	13	12	1	5	0.9231	0.7059	0.8000	0.850	301.0
depth_low	sample04	20	14	13	1	7	0.9286	0.6500	0.7647	1.160	325.3
depth_low	sample05	18	8	8	0	10	1.0000	0.4444	0.6154	0.980	310.7
depth_low	sample06	19	15	13	2	6	0.8667	0.6842	0.7647	1.190	337.0
depth_low	sample07	20	14	12	2	8	0.8571	0.6000	0.7059	0.910	306.2
depth_low	sample08	17	13	12	1	5	0.9231	0.7059	0.8000	1.040	314.1
depth_low	sample09	20	14	13	1	7	0.9286	0.6500	0.7647	0.940	311.3
depth_low	sample10	17	13	11	2	6	0.8462	0.6471	0.7333	1.000	311.0
depth_low	sample11	18	12	8	4	10	0.6667	0.4444	0.5333	1.210	335.1
depth_low	sample12	17	16	14	2	3	0.8750	0.8235	0.8485	0.840	297.8
depth_low	sample13	18	14	14	0	4	1.0000	0.7778	0.8750	1.040	311.8
depth_low	sample14	18	14	11	3	7	0.7857	0.6111	0.6875	1.120	326.3
depth_low	sample15	16	11	9	2	7	0.8182	0.5625	0.6667	1.040	325.0
depth_low	sample16	23	20	15	5	8	0.7500	0.6522	0.6977	1.320	343.1
depth_low	sample17	20	12	11	1	9	0.9167	0.5500	0.6875	0.890	303.7
depth_low	sample18	17	10	9	1	8	0.9000	0.5294	0.6667	0.870	303.0
depth_low	sample19	17	16	15	1	2	0.9375	0.8824	0.9091	1.020	320.2
depth_low	sample20	21	16	14	2	7	0.8750	0.6667	0.7568	1.040	321.7
depth_med	sample01	18	20	17	3	1	0.8500	0.9444	0.8947	3.650	567.6
depth_med	sample02	17	16	14	2	3	0.8750	0.8235	0.8485	4.240	654.6
depth_med	sample03	22	25	19	6	3	0.7600	0.8636	0.8085	5.350	748.7
depth_med	sample04	19	17	16	1	3	0.9412	0.8421	0.8889	4.420	685.3
depth_med	sample05	18	15	13	2	5	0.8667	0.7222	0.7879	4.030	616.5
depth_med	sample06	19	21	16	5	3	0.7619	0.8421	0.8000	4.820	717.0
depth_med	sample07	18	19	17	2	1	0.8947	0.9444	0.9189	4.550	702.8
depth_med	sample08	21	24	18	6	3	0.7500	0.8571	0.8000	5.250	773.0
depth_med	sample09	16	18	14	4	2	0.7778	0.8750	0.8235	4.390	692.2
depth_med	sample10	20	21	16	5	4	0.7619	0.8000	0.7805	4.690	713.0
depth_med	sample11	20	19	17	2	3	0.8947	0.8500	0.8718	4.070	639.6
depth_med	sample12	17	21	15	6	2	0.7143	0.8824	0.7895	4.340	673.7
depth_med	sample13	18	16	15	1	3	0.9375	0.8333	0.8824	3.410	557.3
depth_med	sample14	19	21	16	5	3	0.7619	0.8421	0.8000	3.750	597.0
depth_med	sample15	18	18	15	3	3	0.8333	0.8333	0.8333	4.120	670.3
depth_med	sample16	17	16	14	2	3	0.8750	0.8235	0.8485	4.370	682.1
depth_med	sample17	17	18	14	4	3	0.7778	0.8235	0.8000	4.110	658.6
depth_med	sample18	19	16	14	2	5	0.8750	0.7368	0.8000	5.360	793.9
depth_med	sample19	18	18	15	3	3	0.8333	0.8333	0.8333	4.420	672.8
depth_med	sample20	18	20	14	6	4	0.7000	0.7778	0.7368	4.540	703.0
depth_high	sample01	20	22	17	5	3	0.7727	0.8500	0.8095	10.770	1388.8
depth_high	sample02	19	22	17	5	2	0.7727	0.8947	0.8293	8.510	1111.0
depth_high	sample03	19	20	18	2	1	0.9000	0.9474	0.9231	7.510	1017.6
depth_high	sample04	19	24	16	8	3	0.6667	0.8421	0.7442	8.890	1126.1
depth_high	sample05	19	20	17	3	2	0.8500	0.8947	0.8718	6.800	947.2
depth_high	sample06	20	20	16	4	4	0.8000	0.8000	0.8000	9.370	1167.1
depth_high	sample07	18	19	16	3	2	0.8421	0.8889	0.8649	8.100	1029.9
depth_high	sample08	17	22	16	6	1	0.7273	0.9412	0.8205	6.600	908.7
depth_high	sample09	19	24	18	6	1	0.7500	0.9474	0.8372	8.900	1155.1
depth_high	sample10	21	19	15	4	6	0.7895	0.7143	0.7500	9.620	1235.5
depth_high	sample11	19	20	16	4	3	0.8000	0.8421	0.8205	9.380	1191.3
depth_high	sample12	20	21	18	3	2	0.8571	0.9000	0.8780	8.270	1077.6
depth_high	sample13	18	22	18	4	0	0.8182	1.0000	0.9000	8.660	1112.2
depth_high	sample14	19	24	16	8	3	0.6667	0.8421	0.7442	10.480	1359.9
depth_high	sample15	21	22	18	4	3	0.8182	0.8571	0.8372	10.620	1377.8
depth_high	sample16	17	22	15	7	2	0.6818	0.8824	0.7692	7.280	984.5
depth_high	sample17	19	24	19	5	0	0.7917	1.0000	0.8837	9.700	1254.2
depth_high	sample18	21	28	21	7	0	0.7500	1.0000	0.8571	10.070	1284.7
depth_high	sample19	15	14	11	3	4	0.7857	0.7333	0.7586	6.030	847.5
depth_high	sample20	18	21	16	5	2	0.7619	0.8889	0.8205	8.770	1072.0
