species	config	n_truth_strains	completeness	contamination	n_contigs	n_clusters	precision	recall	bray_curtis
Akkermansia_muciniphila	diff_k5	20	1.00	0.00	1	24	1.000	0.920	0.097
Akkermansia_muciniphila	diff_k5	20	0.95	0.01	20	34	0.565	0.520	0.471
Akkermansia_muciniphila	diff_k5	20	0.90	0.02	50	34	0.591	0.520	0.476
Akkermansia_muciniphila	diff_k5	20	0.80	0.05	100	34	0.542	0.520	0.499
Akkermansia_muciniphila	diff_k5	20	0.70	0.08	200	34	0.520	0.520	0.510
Akkermansia_muciniphila	diff_k5	20	0.50	0.10	400	34	0.462	0.480	0.536
Clostridioides_difficile	diff_k5	20	1.00	0.00	1	27	1.000	0.960	0.064
Clostridioides_difficile	diff_k5	20	0.95	0.01	20	35	0.889	0.640	0.456
Clostridioides_difficile	diff_k5	20	0.90	0.02	50	35	0.571	0.640	0.557
Clostridioides_difficile	diff_k5	20	0.80	0.05	100	35	0.484	0.600	0.602
Clostridioides_difficile	diff_k5	20	0.70	0.08	200	35	0.484	0.600	0.573
Clostridioides_difficile	diff_k5	20	0.50	0.10	400	35	0.350	0.560	0.710
Cutibacterium_acnes	diff_k5	17	1.00	0.00	1	8	1.000	0.880	0.088
Cutibacterium_acnes	diff_k5	17	0.95	0.01	20	20	0.800	0.800	0.167
Cutibacterium_acnes	diff_k5	17	0.90	0.02	50	20	0.800	0.800	0.197
Cutibacterium_acnes	diff_k5	17	0.80	0.05	100	20	0.607	0.680	0.408
Cutibacterium_acnes	diff_k5	17	0.70	0.08	200	20	0.556	0.600	0.478
Cutibacterium_acnes	diff_k5	17	0.50	0.10	400	20	0.529	0.720	0.494
Escherichia_coli	diff_k5	17	1.00	0.00	1	30	1.000	1.000	0.050
Escherichia_coli	diff_k5	17	0.95	0.01	20	33	0.913	0.840	0.220
Escherichia_coli	diff_k5	17	0.90	0.02	50	33	0.913	0.840	0.218
Escherichia_coli	diff_k5	17	0.80	0.05	100	33	0.875	0.840	0.244
Escherichia_coli	diff_k5	17	0.70	0.08	200	33	0.714	0.800	0.319
Escherichia_coli	diff_k5	17	0.50	0.10	400	33	0.545	0.720	0.423
Fusobacterium_nucleatum	diff_k5	17	1.00	0.00	1	19	1.000	1.000	0.060
Fusobacterium_nucleatum	diff_k5	17	0.95	0.01	20	22	1.000	0.800	0.133
Fusobacterium_nucleatum	diff_k5	17	0.90	0.02	50	22	0.815	0.880	0.231
Fusobacterium_nucleatum	diff_k5	17	0.80	0.05	100	22	0.800	0.800	0.232
Fusobacterium_nucleatum	diff_k5	17	0.70	0.08	200	22	0.690	0.800	0.313
Fusobacterium_nucleatum	diff_k5	17	0.50	0.10	400	22	0.438	0.840	0.569
Klebsiella_pneumoniae	diff_k5	19	1.00	0.00	1	28	1.000	0.720	0.245
Klebsiella_pneumoniae	diff_k5	19	0.95	0.01	20	31	0.773	0.680	0.402
Klebsiella_pneumoniae	diff_k5	19	0.90	0.02	50	31	0.762	0.640	0.466
Klebsiella_pneumoniae	diff_k5	19	0.80	0.05	100	31	0.654	0.680	0.488
Klebsiella_pneumoniae	diff_k5	19	0.70	0.08	200	31	0.630	0.680	0.500
Klebsiella_pneumoniae	diff_k5	19	0.50	0.10	400	31	0.471	0.640	0.593
Lactiplantibacillus_plantarum	diff_k5	22	1.00	0.00	1	39	1.000	1.000	0.046
Lactiplantibacillus_plantarum	diff_k5	22	0.95	0.01	20	44	0.875	0.840	0.116
Lactiplantibacillus_plantarum	diff_k5	22	0.90	0.02	50	44	0.875	0.840	0.105
Lactiplantibacillus_plantarum	diff_k5	22	0.80	0.05	100	44	0.800	0.800	0.178
Lactiplantibacillus_plantarum	diff_k5	22	0.70	0.08	200	44	0.760	0.760	0.250
Lactiplantibacillus_plantarum	diff_k5	22	0.50	0.10	400	44	0.586	0.680	0.346
Mycobacterium_tuberculosis	same_k5	17	1.00	0.00	1	1	1.000	1.000	0.000
Mycobacterium_tuberculosis	same_k5	17	0.95	0.01	20	18	1.000	0.080	0.864
Mycobacterium_tuberculosis	same_k5	17	0.90	0.02	50	18	1.000	0.040	0.920
Mycobacterium_tuberculosis	same_k5	17	0.80	0.05	100	18	0.400	0.080	0.864
Mycobacterium_tuberculosis	same_k5	17	0.70	0.08	200	18	0.400	0.080	0.864
Mycobacterium_tuberculosis	same_k5	17	0.50	0.10	400	18	0.375	0.120	0.848
Phocaeicola_dorei	diff_k5	11	1.00	0.00	1	10	1.000	1.000	0.047
Phocaeicola_dorei	diff_k5	11	0.95	0.01	20	14	0.714	0.800	0.277
Phocaeicola_dorei	diff_k5	11	0.90	0.02	50	14	0.731	0.760	0.260
Phocaeicola_dorei	diff_k5	11	0.80	0.05	100	14	0.731	0.760	0.252
Phocaeicola_dorei	diff_k5	11	0.70	0.08	200	14	0.714	0.800	0.261
Phocaeicola_dorei	diff_k5	11	0.50	0.10	400	14	0.543	0.760	0.461
Porphyromonas_gingivalis	diff_k5	22	1.00	0.00	1	27	1.000	1.000	0.045
Porphyromonas_gingivalis	diff_k5	22	0.95	0.01	20	34	0.607	0.680	0.383
Porphyromonas_gingivalis	diff_k5	22	0.90	0.02	50	34	0.643	0.720	0.365
Porphyromonas_gingivalis	diff_k5	22	0.80	0.05	100	34	0.594	0.760	0.415
Porphyromonas_gingivalis	diff_k5	22	0.70	0.08	200	34	0.581	0.720	0.392
Porphyromonas_gingivalis	diff_k5	22	0.50	0.10	400	34	0.516	0.640	0.459
Prevotella_copri	diff_k5	15	1.00	0.00	1	19	1.000	0.920	0.124
Prevotella_copri	diff_k5	15	0.95	0.01	20	19	0.885	0.920	0.202
Prevotella_copri	diff_k5	15	0.90	0.02	50	19	0.889	0.960	0.198
Prevotella_copri	diff_k5	15	0.80	0.05	100	19	0.885	0.920	0.197
Prevotella_copri	diff_k5	15	0.70	0.08	200	19	0.741	0.800	0.282
Prevotella_copri	diff_k5	15	0.50	0.10	400	19	0.633	0.760	0.330
Salmonella_enterica	diff_k5	15	1.00	0.00	1	19	1.000	0.920	0.097
Salmonella_enterica	diff_k5	15	0.95	0.01	20	23	0.923	0.960	0.146
Salmonella_enterica	diff_k5	15	0.90	0.02	50	23	0.885	0.920	0.174
Salmonella_enterica	diff_k5	15	0.80	0.05	100	23	0.828	0.960	0.211
Salmonella_enterica	diff_k5	15	0.70	0.08	200	23	0.821	0.920	0.210
Salmonella_enterica	diff_k5	15	0.50	0.10	400	23	0.514	0.720	0.527
Staphylococcus_aureus	diff_k5	14	1.00	0.00	1	13	1.000	0.880	0.075
Staphylococcus_aureus	diff_k5	14	0.95	0.01	20	17	1.000	0.680	0.205
Staphylococcus_aureus	diff_k5	14	0.90	0.02	50	17	1.000	0.640	0.208
Staphylococcus_aureus	diff_k5	14	0.80	0.05	100	17	0.929	0.520	0.338
Staphylococcus_aureus	diff_k5	14	0.70	0.08	200	17	0.714	0.600	0.428
Staphylococcus_aureus	diff_k5	14	0.50	0.10	400	17	0.400	0.480	0.585
Staphylococcus_epidermidis	diff_k5	13	1.00	0.00	1	9	1.000	1.000	0.056
Staphylococcus_epidermidis	diff_k5	13	0.95	0.01	20	16	0.952	0.800	0.284
Staphylococcus_epidermidis	diff_k5	13	0.90	0.02	50	16	0.952	0.800	0.276
Staphylococcus_epidermidis	diff_k5	13	0.80	0.05	100	16	0.882	0.600	0.325
Staphylococcus_epidermidis	diff_k5	13	0.70	0.08	200	16	0.722	0.520	0.405
Staphylococcus_epidermidis	diff_k5	13	0.50	0.10	400	16	0.625	0.400	0.504
Streptococcus_pneumoniae	diff_k5	20	1.00	0.00	1	38	1.000	0.960	0.055
Streptococcus_pneumoniae	diff_k5	20	0.95	0.01	20	41	1.000	0.840	0.109
Streptococcus_pneumoniae	diff_k5	20	0.90	0.02	50	41	0.870	0.800	0.226
Streptococcus_pneumoniae	diff_k5	20	0.80	0.05	100	41	0.840	0.840	0.189
Streptococcus_pneumoniae	diff_k5	20	0.70	0.08	200	41	0.733	0.880	0.247
Streptococcus_pneumoniae	diff_k5	20	0.50	0.10	400	41	0.541	0.800	0.447
